Identifiant_Accident,date,Annee_Accident,Mois_Accident,Jour_Accident,Heure_Minutes_Accident,Departement,Commune,Latitude,Longitude,Localisation,Intersection,Categorie_Route,Régime_Circulation,Amenagement_Infrastructure,Situation_Accident,coord,Metropole
201900031912,2019-09-05,2019,septembre,jeudi,1900-01-01 11:10:00,67,67544,,,En agglomération,Autre intersection,Parc de stationnement,A sens unique,Aucun,Sur chaussée,"nan, nan",Autre
201900032209,2019-04-13,2019,avril,samedi,1900-01-01 16:50:00,67,67130,,,Hors agglomération,Hors intersection,Autre,Bidirectionnelle,Autres,Sur piste cyclable,"nan, nan",Autre
201900032515,2019-07-26,2019,juillet,vendredi,1900-01-01 09:10:00,38,38289,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900033476,2019-06-19,2019,juin,mercredi,1900-01-01 18:30:00,67,67362,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur accotement,"nan, nan",Autre
201900033524,2019-06-24,2019,juin,lundi,1900-01-01 09:49:00,38,38200,,,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Grenoble
201900033759,2019-09-03,2019,septembre,mardi,1900-01-01 20:50:00,67,67046,,,En agglomération,Giratoire,Route Départementale,A sens unique,Aucun,Sur chaussée,"nan, nan",Autre
201900035790,2019-02-25,2019,février,lundi,1900-01-01 08:20:00,67,67482,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900039766,2019-07-18,2019,juillet,jeudi,1900-01-01 19:08:00,67,67447,,,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Strasbourg
201900039802,2019-06-12,2019,juin,mercredi,1900-01-01 19:55:00,38,38053,,,En agglomération,Hors intersection,Route Départementale,A sens unique,Autres,Sur chaussée,"nan, nan",Autre
201900041485,2019-04-06,2019,avril,samedi,1900-01-01 14:35:00,38,38027,,,En agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900042590,2019-02-22,2019,février,vendredi,1900-01-01 16:50:00,38,38474,,,En agglomération,Giratoire,Route Départementale,A sens unique,Aucun,Sur chaussée,"nan, nan",Grenoble
201900042998,2019-08-28,2019,août,mercredi,1900-01-01 20:10:00,67,67414,,,En agglomération,Giratoire,Route Départementale,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Autre
201900043054,2019-08-28,2019,août,mercredi,1900-01-01 13:15:00,38,38229,,,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Zone piétonne,Sur piste cyclable,"nan, nan",Grenoble
201900043198,2019-03-27,2019,mars,mercredi,1900-01-01 13:50:00,67,67223,,,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"nan, nan",Autre
201900043464,2019-07-20,2019,juillet,samedi,1900-01-01 05:50:00,38,38348,,,Hors agglomération,Hors intersection,Route Départementale,A chaussées séparées,Aucun,Sur chaussée,"nan, nan",Autre
201900043577,2019-12-02,2019,décembre,lundi,1900-01-01 17:55:00,38,38229,,,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur piste cyclable,"nan, nan",Grenoble
201900044756,2019-09-28,2019,septembre,samedi,1900-01-01 18:10:00,38,38065,,,Hors agglomération,Intersection en T,Route Départementale,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"nan, nan",Autre
201900044868,2019-08-18,2019,août,dimanche,1900-01-01 10:35:00,67,67100,,,En agglomération,Hors intersection,Autre,Bidirectionnelle,Aucun,Sur piste cyclable,"nan, nan",Autre
201900045290,2019-07-16,2019,juillet,mardi,1900-01-01 11:45:00,67,67539,,,Hors agglomération,Autre intersection,Route Départementale,Bidirectionnelle,Pont - autopont,Sur autre voie spéciale,"nan, nan",Autre
201900046258,2019-01-07,2019,janvier,lundi,1900-01-01 14:45:00,67,67482,,,En agglomération,Intersection en T,Voie Communales,A sens unique,Pont - autopont,Sur chaussée,"nan, nan",Strasbourg
201900046391,2019-09-29,2019,septembre,dimanche,1900-01-01 19:25:00,67,67348,,,En agglomération,Intersection en X,Voie Communales,A sens unique,Carrefour aménagé,Sur chaussée,"nan, nan",Strasbourg
