id,coord,annee_maj,categorie,geometrie,longitude,latitude,code_postal
1632,"45.17667,5.75224",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.75224,45.17667],[5.7526,45.17678],[5.75354,45.17702],[5.75435,45.17725],[5.7554,45.17752],[5.75576,45.17762],[5.75596,45.17756],[5.75633,45.17765]]}",45.17667,5.75224,38
2814,"45.19668,5.71197",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71197,45.19668],[5.71196,45.19669],[5.71096,45.1989],[5.70824,45.20484],[5.70824,45.205]]}",45.19668,5.71197,38
2817,"45.18021,5.76608",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.76608,45.18021],[5.76635,45.18054],[5.76665,45.18059],[5.76668,45.1806],[5.76668,45.18067],[5.76672,45.18071],[5.76682,45.18077],[5.76754,45.18113],[5.76774,45.18124],[5.76789,45.18133],[5.76802,45.18145],[5.76813,45.18163],[5.76817,45.18186],[5.76819,45.18232],[5.76824,45.18312],[5.76828,45.18371],[5.76831,45.18386],[5.76838,45.18402],[5.76842,45.18408],[5.76843,45.18416],[5.76844,45.18441],[5.76848,45.18457],[5.7685,45.18471],[5.76851,45.18477],[5.7685,45.18488],[5.76856,45.18502],[5.76874,45.18524],[5.76895,45.18551],[5.76925,45.18586],[5.76933,45.18593],[5.76943,45.186],[5.76951,45.18611],[5.76953,45.1862],[5.76955,45.18624],[5.76969,45.18643],[5.76975,45.18654],[5.76978,45.18663],[5.76978,45.18673],[5.76975,45.18693],[5.76968,45.18731],[5.76958,45.18789],[5.76951,45.1885],[5.7695,45.1886],[5.76953,45.18872],[5.76956,45.18875],[5.76959,45.18876],[5.76963,45.18879],[5.76964,45.18882],[5.76964,45.18887],[5.76961,45.18891],[5.76958,45.18893],[5.76951,45.18898],[5.76949,45.18901],[5.76947,45.18907],[5.76943,45.18946],[5.76931,45.19032]]}",45.18021,5.76608,38
2815,"45.19647,5.71209",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71209,45.19647],[5.71197,45.19668]]}",45.19647,5.71209,38
2816,"45.19647,5.71209",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71209,45.19647],[5.7126,45.19608],[5.7136,45.19528]]}",45.19647,5.71209,38
1624,"45.20847,5.77397",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.77397,45.20847],[5.7734,45.20814],[5.77327,45.20723],[5.77324,45.20708],[5.77323,45.20697]]}",45.20847,5.77397,38
10001,"45.18757,5.73823",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73823,45.18757],[5.73222,45.18515]]}",45.18757,5.73823,38
1790,"45.23634,5.66025",2016-01-01,voieverte,"{""type"":""LineString"",""coordinates"":[[5.66025,45.23634],[5.6613,45.23498],[5.66194,45.23413],[5.6623,45.23359],[5.66268,45.23303],[5.66332,45.2322],[5.66371,45.23167],[5.66501,45.2299],[5.66804,45.22566],[5.66907,45.22423],[5.6714,45.22104],[5.67178,45.22052],[5.67288,45.21911],[5.67381,45.21806],[5.67474,45.21732],[5.67561,45.21675],[5.67699,45.216],[5.67853,45.21529],[5.68057,45.21421],[5.68088,45.21404],[5.68254,45.21318],[5.68337,45.21275],[5.68423,45.21235],[5.68472,45.21221],[5.68524,45.21211],[5.68605,45.21196],[5.68876,45.2114],[5.68942,45.21129],[5.68996,45.2112],[5.69055,45.21113],[5.6911,45.21105],[5.6934,45.21073],[5.69504,45.2105],[5.69591,45.21029],[5.69701,45.20997],[5.70008,45.20897],[5.70129,45.20841],[5.70164,45.20818],[5.7021,45.2079],[5.70236,45.20784]]}",45.23634,5.66025,38
1514,"45.23692,5.65981",2018-01-01,voieverte,"{""type"":""LineString"",""coordinates"":[[5.65981,45.23692],[5.65968,45.23715],[5.65957,45.2373],[5.65956,45.2374],[5.65958,45.23747],[5.65961,45.23761],[5.6597,45.23788],[5.65978,45.23816],[5.65984,45.23836],[5.65991,45.2386],[5.65991,45.23861],[5.65991,45.23862],[5.65983,45.23873],[5.65974,45.23886],[5.65953,45.23913],[5.65952,45.23914],[5.6595,45.23915],[5.65932,45.23919],[5.65929,45.23919],[5.65926,45.23918],[5.65873,45.239],[5.65868,45.239],[5.65838,45.23907],[5.65828,45.23911],[5.65813,45.23925],[5.65801,45.23938],[5.65779,45.23969],[5.65762,45.23988],[5.65719,45.24047],[5.65668,45.24119],[5.6546,45.24407],[5.65268,45.24669],[5.65221,45.24725],[5.65184,45.24757],[5.6512,45.24807],[5.64919,45.24955],[5.64849,45.2501],[5.64782,45.25057],[5.64726,45.25097],[5.64678,45.25141],[5.64555,45.2523],[5.64386,45.25361],[5.64311,45.25415],[5.64227,45.25464],[5.64178,45.25495],[5.64148,45.25514],[5.64089,45.25541],[5.63923,45.25608],[5.63859,45.25636],[5.63812,45.25667],[5.6378,45.25691],[5.63334,45.26047],[5.62961,45.26351],[5.62774,45.26505],[5.62684,45.26618],[5.6257,45.26726],[5.6239,45.2692],[5.62357,45.26964],[5.6234,45.27001],[5.62322,45.27039],[5.62287,45.27099],[5.62278,45.27108],[5.62275,45.27111],[5.62262,45.27126],[5.62248,45.27143],[5.62233,45.27161],[5.62226,45.27178],[5.62218,45.27201],[5.62215,45.27212],[5.62212,45.27226],[5.62207,45.27248],[5.62194,45.27273],[5.62185,45.27294],[5.62159,45.27356],[5.62136,45.27465],[5.62139,45.27493],[5.62141,45.2752],[5.62143,45.27578],[5.62136,45.27599],[5.6213,45.27613],[5.62122,45.27632],[5.62109,45.27686],[5.62099,45.27728],[5.62082,45.27792],[5.62075,45.27831],[5.62071,45.27855],[5.6207,45.27914],[5.62068,45.27945],[5.62065,45.27977],[5.62061,45.28044],[5.62054,45.28111],[5.62037,45.28197],[5.62025,45.28236],[5.62013,45.28315],[5.61999,45.28378],[5.61984,45.28455],[5.6196,45.2857],[5.61931,45.28682],[5.61918,45.2872],[5.61906,45.28792],[5.61881,45.28894],[5.61849,45.29027],[5.6183,45.29126],[5.61819,45.29175],[5.61809,45.29221],[5.61792,45.29273],[5.61779,45.29315],[5.61758,45.29388],[5.61755,45.29398],[5.61722,45.29576],[5.61715,45.29597],[5.617,45.29623],[5.61681,45.29649],[5.61656,45.29678],[5.61631,45.2971],[5.61609,45.29744],[5.61519,45.29825],[5.61454,45.29886]]}",45.23692,5.65981,38
1511,"45.15595,5.69675",2016-01-01,voieverte,"{""type"":""LineString"",""coordinates"":[[5.69675,45.15595],[5.69576,45.15624],[5.69535,45.15641]]}",45.15595,5.69675,38
